category_id,title
1,憲法は国民のものであり、国民が憲法改正についての最終判断を行うことを踏まえ、憲法及び関連する課題についての議論を深め、広く国民の理解を得る努力を継続すべきとの見解
1,緊急事態対応に関し、議員の任期延長等について、早急に検討すべきとの見解
1,憲法審査会においても憲法の観点から合区解消を議論すべきとの見解
1,憲法99条の憲法尊重擁護義務と国会法102条の6に基づき、憲法審査会において憲法違反問題の調査審議を求めるとの見解
1,オンライン国会に係る衆議院憲法審査会の報告は、国民主権原理などとの関係や議院自律権に係る論究がうかがえず慎重な精査が必要との見解
1,合区廃止や国会議員の任期延長に係る問題は、憲法改正によらずに国会法や公職選挙法改正によって解決できるとの見解
1,デジタル社会において人権や民主主義等の憲法価値をどう守るべきかについて、巨大プラットフォーマーの発達・変貌を見極めつつ、規制の在り方等の議論を慎重に進めるべきとの見解
1,憲法が参議院の緊急集会を認めていることは、参議院が衆議院と同じ全国民の代表であることを表したものであり、参議院の緊急集会の開催の要件や手続、権能や効果等について議論を深めていく必要があるとの見解
1,憲法は国民のものである以上、国民の議論への参加が不可欠で、改正内容への国民の参加こそが重要であるとの見解
1,現行憲法は、人権尊重をうたいながら、個人の尊厳を保つべくデジタル社会・サイバー空間の拡張に対応したものになっていないとの見解
1,緊急時における三権の確立を保障するため、内閣の権限強化とその限界、国権の最高機関としての国会の機能の維持等の検討が必要であるとの見解
1,定例日に憲法審査会が開かれることを要望するとともに、具体的なテーマを早急に決定の上、分科会等で集中的に討議し、一定の取りまとめを行うべく、各会派が憲法改正項目に係る意思表示を行うべきとの見解
1,日本維新の会の憲法改正原案―教育無償化、統治機構改革、憲法裁判所の設置―に加え、緊急事態条項を議論すべきとの見解
1,一般国民へのひぼう中傷問題に係る国会議員の免責特権の在り方について議論すべきとの見解
3,ロシアのウクライナ侵略に対し、非軍事の人道支援や国連総会非難決議への棄権国等に対する働きかけの強化を政府に強く求めるとの見解
1,憲法9条を生かした外交戦略こそが必要であり、9条改定が日本を軍事対軍事の危険な道に引き込むことは明瞭であるとの見解
3,唯一の戦争被爆国である日本の政府が核共有の議論を退け、核兵器禁止条約に参加することを強く求めるとの見解
3,ウクライナがロシアの侵攻を受けるまでの政治状況等についての見解
1,日本で憲法改正が遅れたのは、党派性が余りにも強過ぎたためであり、各党は憲法改正の発議に関して党議拘束を掛けないという宣言を出すべきであるとの見解
1,自衛隊及び緊急事態条項は独立国家であれば当然憲法に明記されるべきとの見解
